,industry_code,industry_title,2007.25,2007.5,2007.75,2008.0,2008.25,2008.5,2008.75,2009.0,2009.25,2009.5,2009.75,2010.0,2010.25,2010.5,2010.75,2011.0,2011.25,2011.5,2011.75,2012.0,2012.25,2012.5,2012.75,2013.0,2013.25,2013.5,2013.75,2014.0,2014.25,2014.5,2014.75,2015.0,recovery,peak,growth,growth_pcg
2296,621491.0,Hmo medical centers,75664.0,75671.0,75921.0,77014.0,74326.0,75202.0,75200.0,76282.0,75807.0,75728.0,75677.0,76223.0,111274.0,111035.0,111747.0,113847.0,115206.0,115407.0,118144.0,120241.0,120368.0,121308.0,121896.0,124635.0,123011.0,122715.0,124328.0,126342.0,122548.0,123326.0,123882.0,126197.0,2010.25,77014.0,49183.0,63.862414625912166
2389,812113.0,Nail salons,31859.0,34465.0,35162.0,34287.0,35043.0,38710.0,39374.0,37704.0,38016.0,40959.0,41067.0,39704.0,40443.0,44733.0,45378.0,44449.0,45760.0,50248.0,51176.0,50094.0,53003.0,57938.0,59010.0,57613.0,59396.0,64614.0,65075.0,63360.0,66344.0,71681.0,72519.0,70615.0,2009.5,39374.0,31241.0,79.34423731396353
2042,485119.0,Other urban transit systems,326.0,388.0,391.0,396.0,364.0,343.0,312.0,307.0,321.0,356.0,355.0,360.0,335.0,329.0,334.0,327.0,377.0,409.0,398.0,409.0,427.0,442.0,439.0,469.0,487.0,491.0,552.0,687.0,662.0,715.0,719.0,736.0,2011.5,396.0,340.0,85.85858585858585
1184,111191.0,Oilseed and grain combination farming,6777.0,7929.0,8415.0,7628.0,6971.0,8268.0,8528.0,8575.0,7882.0,9651.0,9858.0,10097.0,9664.0,11305.0,11826.0,10650.0,10400.0,12546.0,12810.0,12282.0,11995.0,13655.0,14276.0,13433.0,13335.0,15716.0,16345.0,15849.0,15284.0,17809.0,18502.0,17359.0,2009.5,8575.0,8784.0,102.43731778425655
2107,519130.0,Internet publishing and web search portals,68300.0,71776.0,74022.0,75988.0,79922.0,82314.0,83370.0,83157.0,82151.0,82238.0,80874.0,82369.0,87148.0,91130.0,92481.0,95921.0,99508.0,105119.0,107878.0,110535.0,119988.0,123714.0,125097.0,127502.0,135308.0,140804.0,143829.0,148103.0,153537.0,160981.0,165690.0,171779.0,2010.25,83370.0,88409.0,106.04414057814562
2433,923140.0,Administration of veterans' affairs,17920.0,18100.0,19039.0,19352.0,19584.0,19976.0,20442.0,20615.0,22044.0,22723.0,23688.0,25133.0,30429.0,30925.0,31833.0,31217.0,33506.0,33808.0,34596.0,35807.0,36163.0,36877.0,37227.0,38652.0,39165.0,39980.0,41561.0,41763.0,41817.0,42526.0,43070.0,44640.0,2009.25,20615.0,24025.0,116.54135338345866
2011,454111.0,Electronic shopping,72563.0,74192.0,75944.0,84450.0,80457.0,81587.0,84283.0,88165.0,85857.0,85171.0,87340.0,94384.0,86947.0,89648.0,93598.0,101671.0,98991.0,103205.0,109266.0,117541.0,117254.0,122713.0,127513.0,138005.0,134492.0,139767.0,146092.0,158256.0,162971.0,169307.0,176334.0,193404.0,2010.0,88165.0,105239.0,119.36596154936767
2028,483112.0,Deep sea passenger transportation,3878.0,4059.0,4026.0,3978.0,3932.0,4014.0,4066.0,3907.0,5700.0,5556.0,5457.0,5582.0,8385.0,8512.0,8379.0,8341.0,8385.0,7984.0,8544.0,8312.0,8580.0,8976.0,8855.0,8582.0,8529.0,8709.0,8896.0,8940.0,8831.0,8860.0,9123.0,9223.0,2009.25,4066.0,5157.0,126.83226758484997
2316,624120.0,Services for the elderly and disabled,523054.0,536829.0,542875.0,551267.0,571724.0,583677.0,592531.0,603666.0,617387.0,633678.0,637974.0,646002.0,659696.0,676911.0,682011.0,692533.0,705829.0,717423.0,724030.0,734409.0,760479.0,776240.0,780831.0,791613.0,1305215.0,1316736.0,1343250.0,1367826.0,1386603.0,1423288.0,1442903.0,1460235.0,2009.25,603666.0,856569.0,141.89452445557643
1506,323111.0,Commercial printing (exc. screen and books),15752.0,15490.0,15819.0,15374.0,14139.0,13818.0,13857.0,13520.0,12255.0,11718.0,11848.0,11865.0,10808.0,10181.0,10475.0,9871.0,357248.0,355222.0,351950.0,349687.0,345074.0,343376.0,340636.0,340719.0,337804.0,337734.0,335660.0,337818.0,335314.0,334748.0,331872.0,334077.0,2011.25,15819.0,318258.0,2011.8717997344966
